dish_name,normalized_name,source_site,source_url,source_type,rating,review_count,recipe_count,quality_filter,note
レンコンのきんぴら,レンコンのきんぴら,楽天レシピ,https://recipe.rakuten.co.jp/category/30-311-1196/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
小松菜の煮びたし,小松菜の煮びたし,楽天レシピ,https://recipe.rakuten.co.jp/category/30-311-1205/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
白菜のクリーム煮,白菜のクリーム煮,楽天レシピ,https://recipe.rakuten.co.jp/category/30-311-1206/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
さんまの甘露煮,さんまの甘露煮,楽天レシピ,https://recipe.rakuten.co.jp/category/30-311-1202/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
鮎の甘露煮,鮎の甘露煮,楽天レシピ,https://recipe.rakuten.co.jp/category/30-311-1199/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
梅の甘露煮,梅の甘露煮,楽天レシピ,https://recipe.rakuten.co.jp/category/30-311-1200/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
栗の甘露煮,栗の甘露煮,楽天レシピ,https://recipe.rakuten.co.jp/category/30-311-1201/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
金柑の甘露煮,金柑の甘露煮,楽天レシピ,https://recipe.rakuten.co.jp/category/30-311-1198/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
その他の煮物,その他の煮物,楽天レシピ,https://recipe.rakuten.co.jp/category/30-311-1209/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
炒め物,炒め物,楽天レシピ,https://recipe.rakuten.co.jp/category/30-312/,category_with_recipe_count,,,32481,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
豚キムチ,豚キムチ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-312-1214/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
レバニラ炒め,レバニラ炒め,楽天レシピ,https://recipe.rakuten.co.jp/category/30-312-1210/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
肉野菜炒め,肉野菜炒め,楽天レシピ,https://recipe.rakuten.co.jp/category/30-312-1211/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
なすの味噌炒め,なすの味噌炒め,楽天レシピ,https://recipe.rakuten.co.jp/category/30-312-1212/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
もやし炒め,もやし炒め,楽天レシピ,https://recipe.rakuten.co.jp/category/30-312-1213/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
その他の野菜炒め,その他の野菜炒め,楽天レシピ,https://recipe.rakuten.co.jp/category/30-312-1215/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
